animalInternalID,animalAID,name,litterGroupID,species,breed,age,animalDoB,sex,color,arrivalDate,status,sizeGroup,currentWeightPounds,altered,adoptionFeeGroupID,websiteMemo,lastIntakeDate,lastProfileUpdate,currentLocationTier1,currentLocationTier2,currentLocationTier3,currentLocationTier4,currentLocationTier5,behaviorCategory,kennelNumber,volunteerColor
16966659,77413.0,Chianti,,Dog,"Terrier, Pit Bull/Mix",64,2018-10-24,Male,Brown/Tan,2019-10-30,Healthy In Home,Medium (20-59),40.0,True,,,2019-10-30,2021-09-24 11:00:39,,,,,,EPG2(D),225,Blue
82852875,130010.0,Colette,,Dog,"Pointer/Pyrenees, Great",34,2021-04-05,Female,White/Black,2024-01-17,Available (Shelter),Medium (20-59),52.0,True,199281.0,"- sweet cuddle bug
- potty/house trained
- good with dogs
- needs low traffic home",2024-01-17,2024-02-29 20:30:11,Dog,TLAC,Building 1,,,PG4 (CD),114,Silver
76825614,127401.0,Piccolo,,Dog,"Retriever, Chocolate Labrador/Mix",9,2023-05-28,Male,Brown/None,2023-09-29,Available (Shelter),Medium (20-59),35.6,True,199281.0,"Meet Piccolo, the charming cuddle buddy ready to wiggle his way into your heart! Currently in foster care, Piccolo has been fostering positive interactions with other dogs including the resident dog. He has also met various dogs on walks, and his interactions have been consistently positive.

Piccolo's daily routine includes playful energy bursts, followed by cozy naps, with a penchant for finding sunny spots to snooze. Despite his petite size, his snores are impressive when he sleeps on his back. Piccolo is a sweetheart who loves to check in with nose-boops and is eager to continue improving his leash skills through training.

If you're looking for a loving companion who enjoys both playtime and snuggles, Piccolo is the perfect match. Come meet him today and experience the joy he brings firsthand! ",2023-09-29,2024-03-05 23:51:32,Dog,TLAC,Building 4/5,,,[REASSESS],18,Pink 
52003345,113457.0,Augustus,,Dog,"Bulldog, American",70,2018-03-30,Male,White/None,2022-09-28,Available (Shelter),Large (60-99),77.0,True,17723.0,"Meet Augustus, a sweet and curious dog with a knack for problem-solving. Being deaf, Augustus's intelligence shines through his ability to understand sign language, a testament to his adaptability and resilience. He's quick to pick up new commands, and his curious spirit means he's always up for exploring new environments or learning new tricks. Augustus's unique blend of sweetness, curiosity, and smarts make him a delightful companion. Adopting Augustus means welcoming a loving, intelligent, and resilient friend into your life. His understanding of sign language opens up a whole new way of communicating and bonding with a pet. Give Augustus a chance, and he will show you the depth of loyalty and love a new friend can offer! Talk with a Matchmaker today about meeting Augustus!",2022-09-28,2024-02-24 13:54:40,Dog,TLAC,Building 1,,,[BMOD-offleash],109,Blue
11038744,70688.0,Rascal,11038744.0,Dog,Shepherd/Mix,62,2018-12-22,Male,Brown/White,2022-10-19,Available (Shelter),Medium (20-59),50.0,True,17723.0,"A whole lot of learnin' to do!

For Rascal, the world seems to be a pretty overwhelming place. Rascal is nervous about new sounds, the chaos of the shelter and meeting new folks. Luckily, he has a team of staff and volunteers who help him gain confidence every day!

Rascal arrived at APA! has a tiny puppy without proper socialization. Luckily he found himself a home where he was accepted for who he was, though things changed and Rascal ended up back at the shelter.

While in the shelter, volunteers and staff discovered that Rascal can be his best self when he's in a yard with other dogs. He can take learning cues from other dogs and discovered that petting and human attention doesn't have to be scary. Each day Rascal gains confidence and trust and we see the glimmer of who he actually is!

While it will take time to see the true Rascal, we know that he's crate and house trained and will likely do well living in a home with other dogs, though the transition period may be a little rough.

Rascal comes with the full support of skilled staff who know the ins and outs of training and managing his unique personality. Are you ready to see the true Rascal? Take a chance and click the 'adopt me' button or consider fostering!",2022-10-19,2024-02-28 23:34:21,Dog,TLAC,Building 4/5,,,PG4 (D-CD),57,Red
25692699,85897.0,Bindi,,Dog,"Hound, Plott/Mix",46,2020-04-06,Female,Brindle/None,2023-06-06,Available (Shelter),Large (60-99),70.4,True,199281.0,"""Crikey Mate!"" While Bindi may not be from down under, this brindle beauty is still sure to be an exciting companion. When Bindi's not chatting up her mates in playgroup or flexing her muscles fetching tennis balls, she's expressing her passions as a foodie - gobbling down any treats thrown her way! Bindi is sitting patiently at the shelter for her new home. She's looking to be spoiled as your one and only, in exchange she's happy to hold down the house with polite manners while you're out. 

Ready to meet your new best friend? Click the blue button or come in to ask a matchmaker about Bindi today!",2023-06-06,2024-02-29 20:19:35,Dog,TLAC,Building 4/5,,,PG5 (Muzzle),38,Silver - CIN
25517083,85642.0,Fudge,,Dog,Rottweiler,50,2019-12-13,Male,Black/Brown,2024-02-16,Available (Shelter),Medium (20-59),55.0,True,199281.0,,2024-02-16,2024-03-01 10:41:20,Dog,TLAC,Building 1,,,PG4,152,Yellow
1338396,37585.0,Rousseau,,Dog,"Coonhound, Bluetick/Mix",97,2016-01-11,Female,Brindle/None,2023-01-13,Available (Shelter),Large (60-99),63.0,True,17533.0,"Rousseau is the sweetest, most loving,  and loyal senior dog you can find. She is the biggest cuddle bug and is totally content to spend all afternoon lying around or watching TV. Rousseau is incredibly smart & loves working for her treats. She already knows several commands like down, sit, and shake.

She would really love a home where her people are home often - she just gets lonely. Rousseau also asks to be the only pet in the home - she wants all the attention for herself! Anyone who helps this lady will have an incredible companion for the rest of their life. Come meet this lovable lady! ",2023-01-13,2024-03-02 22:43:00,Dog,TLAC,Building 2,,,[BMOD-threshold],173,Silver
63446051,115720.0,Klaus,,Dog,"Pyrenees, Great/Shepherd, German",23,2022-03-08,Male,White/None,2023-06-21,Available (Shelter),Large (60-99),94.0,True,199281.0,"Santa Klaus is coming to town! He's making a list and checking it twice to find out if you'll be his new adopter! Klaus is an intelligent boi who knows the commands: sit, down, up, stay, crate, beso. Santa Klaus checked the nice list and you are on it! He loves his people as well as scritches, especially between the eyes, and playing with toys. Interested in celebrating Christmas year round in your home? Klaus would do best with a low traffic home; Klaus has potential to live with children 13+ as well as well matched dog friends. Want to meet the famous December 25th hero? Talk to a matchmaker today!",2023-06-21,2024-02-24 18:51:11,Dog,TLAC,Building 4/5,,,EPG5 (Med),22,Yellow - CIN
77003814,127452.0,Jace,,Dog,"Bulldog, American/Mix",12,2023-02-27,Male,Black/White,2023-09-30,Unavailable - Behavior (Shelter),Medium (20-59),58.0,True,199281.0,"At only 11 months old, this pup has already been through a lot. He came to the shelter in October with an infectious smile and a big heart. Sadly, since his arrival, Jace has started to regress. He hates being cooped up in a kennel and is scared of all the loud noises at the shelter. Jace desperately needs to find a foster who can show him love and affection and get him out of here.

Jace still has that puppy energy so he would do best with someone who can handle his jumpy excitement and teach him how to be a good boy. He is learning to walk well on a leash. Jace loves going on walks and doggy playgroup. He honestly loves anything that gets him out of his kennel. Can you help Jace and show him that the world doesn't have to be such a scary place?",2023-09-30,2024-03-04 21:28:11,Dog,TLAC,Building 1,,,PG4 (Muzzle-Puppy),102,Red
