locationGroup,locationTier1,locationTier2,locationTier3,locationTier4,locationTier5
Cat - TT Nursery,Cat,Neonatal Nursery,,,
Cat - TT Nursery,Cat,Neonatal Nursery,Hallway,,
Cat - TT Nursery,Cat,Neonatal Nursery,Lobby,,
Cat - TT Nursery,Cat,Neonatal Nursery,Manager's Office,,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 1,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 10,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 11,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 12,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 13,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 14,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 2,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 3,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 4,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 5,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 6,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 7,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 8,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Cage 9,
Cat - TT Nursery,Cat,Neonatal Nursery,Overflow,Popup,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 1,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 10,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 11,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 12,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 13,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 14,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 2,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 3,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 4,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 5,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 6,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 7,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 8,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Cage 9,
Cat - TT Nursery,Cat,Neonatal Nursery,Room A,Popup,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 1,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 10,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 11,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 12,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 13,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 14,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 15,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 16,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 17,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 18,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 2,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 3,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 4,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 5,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 6,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 7,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 8,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Cage 9,
Cat - TT Nursery,Cat,Neonatal Nursery,Room B,Popup,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 1,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 10,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 11,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 12,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 13,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 14,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 15,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 16,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 17,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 18,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 19,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 2,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 3,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 4,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 5,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 6,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 7,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 8,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Cage 9,
Cat - TT Nursery,Cat,Neonatal Nursery,Room C,Popup,
Cat - TLAC,Cat,TLAC,,,
TLAC Office,Cat,TLAC,Accounting Staff Office,,
Cat - Feral,Cat,TLAC,Cat Barn - Large,,
Cat - Feral,Cat,TLAC,Cat Barn - Medium,,
Cat - Feral,Cat,TLAC,Cat Barn - Small,,
Cat - TLAC,Cat,TLAC,Cat Care Room,,
Cat - TLAC,Cat,TLAC,Cat Intake Room,,
Cat - TLAC,Cat,TLAC,Cat Overflow,,
Cat - TLAC Cattery,Cat,TLAC,Cattery,,
Cat - TLAC Cattery,Cat,TLAC,Cattery,BB,
Cat - TLAC Cattery,Cat,TLAC,Cattery,Group 1,
Cat - TLAC Cattery,Cat,TLAC,Cattery,Group 2,
Cat - TLAC Cattery,Cat,TLAC,Cattery,Group 3,
Cat - TLAC Cattery,Cat,TLAC,Cattery,Group 4,
Cat - TLAC Cattery,Cat,TLAC,Cattery,Group 5,
Cat - TLAC Cattery,Cat,TLAC,Cattery,Metal,
TLAC Office,Cat,TLAC,Davenport,CEO Office (105),
TLAC Office,Cat,TLAC,Davenport,Facilities Office (108),
TLAC Office,Cat,TLAC,Davenport,Operations Office (102),
TLAC Office,Cat,TLAC,Davenport,Placement Office (97),
TLAC Office,Cat,TLAC,Davenport,Volunteer Team Office (107),
TLAC Office,Cat,TLAC,Ellen's Office,,
TLAC Office,Cat,TLAC,Faith's office,,
Cat - FeLV,Cat,TLAC,FeLV Adoption Center,,
Cat - FeLV,Cat,TLAC,FeLV Adoption Center,FeLV Condo,
Cat - FeLV,Cat,TLAC,FeLV Adoption Center,FeLV Gen Pop,
Cat - FeLV,Cat,TLAC,FeLV Sanctuary,,
Cat - Feral,Cat,TLAC,Feral Enclosure - ISO,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Large,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Medium,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Small,,
Cat - Feral,Cat,TLAC,Feral Enclosure - Unknown,,
TLAC Office,Cat,TLAC,Finance and Operations Office,,
Cat - TLAC ISO,Cat,TLAC,ISO Calici,,
Cat - TLAC ISO,Cat,TLAC,ISO Room A,,
Cat - TLAC ISO,Cat,TLAC,ISO Room B,,
Cat - TLAC ISO,Cat,TLAC,ISO Room C,,
Cat - TLAC ISO,Cat,TLAC,ISO Storage,,
TLAC Office,Cat,TLAC,Large Conference Room,,
TLAC Office,Cat,TLAC,MOD Office,,
TLAC Office,Cat,TLAC,MOD Office - Cat,,
TLAC Office,Cat,TLAC,Maddie's Fund Office,,
TLAC Office,Cat,TLAC,Mar-Com Office,,
Clinic,Cat,TLAC,Medical Suite,,
Clinic,Cat,TLAC,Medical Suite (Clinic),,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 1,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 2,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 3,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 4,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 5,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Cage 6,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Panleuk waiting to be assigned,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Popup,
Clinic - Panleuk,Cat,TLAC,Panleuk Ward,Wire Crate,
Cat - RW,Cat,TLAC,RW Ward,,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,M&G Room,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Room 1,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Room 2,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Room 3,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Row 1,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Row 2,
Cat - RW,Cat,TLAC,Ringworm Adoption Center,Row 3,
TLAC Office,Cat,TLAC,Small Conference Room,,
Cat - TLAC,Cat,TLAC,TLAC Community Cats,,
TLAC Office,Cat,TLAC,Volunteer Coordinator Office,,
,Dog,,,,
Dog - Offsite,Dog,A Crate Escape,,,
Dog - Offsite,Dog,Apache Pass Dog Vacation Home,,,
